# timestamp, timestep, pktv4counts, pktv6counts
1548997245.669879, 451, 11540, 144
1548997245.769879, 452, 11757, 234
1548997245.869879, 453, 11463, 224
1548997245.969879, 454, 12913, 283
1548997246.069879, 455, 9662, 220
1548997246.169878, 456, 12053, 127
1548997246.269878, 457, 13004, 219
1548997246.369878, 458, 11224, 242
1548997246.469878, 459, 9057, 189
1548997246.569878, 460, 9323, 195
1548997246.669878, 461, 11137, 160
1548997246.769878, 462, 12406, 91
1548997246.869878, 463, 11074, 110
1548997246.969878, 464, 10546, 102
1548997247.069878, 465, 11243, 163
1548997247.169878, 466, 10654, 131
1548997247.269877, 467, 10234, 126
1548997247.369877, 468, 9444, 114
1548997247.469877, 469, 9873, 110
1548997247.569877, 470, 11777, 288
1548997247.669877, 471, 10886, 339
1548997247.769877, 472, 12387, 302
1548997247.869877, 473, 9754, 540
1548997247.969877, 474, 10342, 180
1548997248.069877, 475, 11315, 292
1548997248.169877, 476, 12327, 460
1548997248.269876, 477, 10069, 194
1548997248.369876, 478, 9269, 170
1548997248.469876, 479, 9669, 150
1548997248.569876, 480, 10214, 247
1548997248.669876, 481, 10632, 99
1548997248.769876, 482, 11067, 274
1548997248.869876, 483, 11108, 372
1548997248.969876, 484, 10692, 418
1548997249.069876, 485, 11247, 382
1548997249.169876, 486, 12009, 230
1548997249.269876, 487, 10789, 332
1548997249.369875, 488, 9904, 467
1548997249.469875, 489, 8947, 401
1548997249.569875, 490, 11299, 301
1548997249.669875, 491, 9624, 297
1548997249.769875, 492, 8595, 302
1548997249.869875, 493, 9004, 393
1548997249.969875, 494, 9552, 347
1548997250.069875, 495, 9439, 286
1548997250.169875, 496, 10098, 469
1548997250.269875, 497, 11245, 355
1548997250.369874, 498, 10488, 390
1548997250.469874, 499, 11952, 203
1548997250.569874, 500, 9331, 398
1548997250.669874, 501, 11183, 259
1548997250.769874, 502, 11219, 373
1548997250.869874, 503, 9635, 296
1548997250.969874, 504, 9983, 217
1548997251.069874, 505, 9555, 162
1548997251.169874, 506, 11205, 121
1548997251.269874, 507, 10390, 148
1548997251.369874, 508, 10615, 226
1548997251.469873, 509, 9758, 309
1548997251.569873, 510, 11803, 281
1548997251.669873, 511, 12090, 258
1548997251.769873, 512, 10426, 317
1548997251.869873, 513, 10164, 163
1548997251.969873, 514, 9573, 301
1548997252.069873, 515, 10464, 391
